1.29785e+19, 4.24426e-1
2.26686e+19, 4.26785e-1
4.28369e+19, 4.26785e-1
7.73153e+19, 4.30349e-1
1.39544e+20, 4.44443e-1
2.55559e+20, 4.59954e-1
4.42801e+20, 4.88031e-1
8.09757e+20, 5.40931e-1
1.27507e+21, 6.05201e-1
2.62059e+21, 8.08829e-1
4.61069e+21, 1.10139e+0
8.21802e+21, 1.61196e+0
1.47162e+22, 2.51752e+0
2.62146e+22, 4.27276e+0
4.57271e+22, 6.86292e+0
7.64834e+22, 1.10386e+1
1.33413e+23, 1.99082e+1
2.37654e+23, 3.13187e+1
4.23344e+23, 4.24418e+1
7.54123e+23, 4.31863e+1
1.34335e+24, 3.43707e+1
2.39298e+24, 2.14578e+1
4.17416e+24, 1.29431e+1
6.79691e+24, 8.22931e+0
1.17391e+25, 4.79563e+0
2.05848e+25, 2.87907e+0
3.66686e+25, 1.88904e+0
6.44679e+25, 1.19814e+0
1.13343e+26, 8.31852e-1
2.04033e+26, 6.18944e-1
3.79040e+26, 4.83487e-1
6.38277e+26, 4.23754e-1
9.49735e+26, 3.92729e-1
